"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"Beta Theta Zeta","December 17, 1927","Norfolk State University","https://en.wikipedia.org/wiki/Norfolk_State_University","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Reassigned","20","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:33-27","[","]","– 1944","Virginia","https://en.wikipedia.org/wiki/Virginia","Rho first"
"","1946","Pittsburg","https://en.wikipedia.org/wiki/Pittsburg,_Kansas","Kansas","https://en.wikipedia.org/wiki/Kansas","Reassigned","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","–19xx ?","","","Rho second (see Alpha Kappa)"
"","1955","Bishop College","https://en.wikipedia.org/wiki/Bishop_College","Marshall","https://en.wikipedia.org/wiki/Marshall,_Texas","Reassigned","21","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:2-29","[","]","–1988","Texas","https://en.wikipedia.org/wiki/Texas","Rho third"
"Sigma","April 28, 1928","Livingstone College","https://en.wikipedia.org/wiki/Livingstone_College","Salisbury","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Tau","March 15, 1947","Little Rock","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","22","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-31","[","]","","","",""
"Upsilon","September 30, 1961","Delaware State University","https://en.wikipedia.org/wiki/Delaware_State_University","Dover","https://en.wikipedia.org/wiki/Dover,_Delaware","Active","23","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-32","[","]","","Delaware","https://en.wikipedia.org/wiki/Delaware",""
"Phi","1929","Virginia State University","https://en.wikipedia.org/wiki/Virginia_State_University","Petersburg","https://en.wikipedia.org/wiki/Petersburg,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Chi","October 3, 1953","Cheyney","https://en.wikipedia.org/wiki/Cheyney,_Pennsylvania","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","","","","","","","",""
"Psi","January 17, 1931","Clark Atlanta University","https://en.wikipedia.org/wiki/Clark_Atlanta_University","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Active","24","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:24-33","[","]","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Omega","May 8, 1948","Winston-Salem State University","https://en.wikipedia.org/wiki/Winston-Salem_State_University","Winston-Salem","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
