"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8"
"Omicron Beta Zeta","November 22, 1990","Arlington","https://en.wikipedia.org/wiki/Arlington,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","",""
"","","","","","","Inactive","","","","","Pi Beta Zeta"
"Rho Beta Zeta","","Vallejo","https://en.wikipedia.org/wiki/Vallejo,_California","California","https://en.wikipedia.org/wiki/California","Active","","","","",""
"Sigma Beta Zeta","July 12, 2000","Roseville","https://en.wikipedia.org/wiki/Roseville,_Minnesota","Minnesota","https://en.wikipedia.org/wiki/Minnesota","Active","141","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:30-184","[","]",""
"","","","","","","Inactive","","","","","Tau Beta Zeta"
"","","","","","","Inactive","","","","","Upsilon Beta Zeta"
"Phi Beta Zeta","April 17, 2007","Tulsa","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","107","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:4-143","[","]",""
"Chi Beta Zeta","June 7, 2008","Randallstown","https://en.wikipedia.org/wiki/Randallstown,_Maryland","Baltimore County","https://en.wikipedia.org/wiki/Baltimore_County,_Maryland","Active","220","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:13-272","[","]","Maryland"
"Psi Beta Zeta","April 3, 2010","Southaven","https://en.wikipedia.org/wiki/Southaven,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","223","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:31-275","[","]",""
"Omega Beta Zeta","July 19, 2011","Farmville","https://en.wikipedia.org/wiki/Farmville,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","229","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-281","[","]",""
"Alpha Gamma Zeta","","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","230","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-282","[","]",""
"","","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","","","Inactive","196","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:23-247","[","]","Beta Gamma Zeta"
"Gamma Gamma Zeta","","Columbus","https://en.wikipedia.org/wiki/Columbus,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","223","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:31-275","[","]",""
"Delta Gamma Zeta","","Phoenix Metro","https://en.wikipedia.org/wiki/Phoenix_metropolitan_area","Arizona","https://en.wikipedia.org/wiki/Arizona","Active","231","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:29-283","[","]",""
"Epsilon Gamma Zeta","","Rocky Mount","https://en.wikipedia.org/wiki/Rocky_Mount,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Zeta Gamma Zeta","","Pinellas County","https://en.wikipedia.org/wiki/Pinellas_County,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","",""
"Eta Gamma Zeta","April 1965","Brunswick","https://en.wikipedia.org/wiki/Brunswick,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","",""
"Theta Gamma Zeta","","Helena","https://en.wikipedia.org/wiki/Helena,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","","","","",""
"","","Albuquerque","https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","New Mexico","https://en.wikipedia.org/wiki/New_Mexico","Inactive","231","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:29-283","[","]","Iota Gamma Zeta"
"","","","","","","Inactive","","","","","Kappa Gamma Zeta"
"Lambda Gamma Zeta","September 29, 1981","Columbia","https://en.wikipedia.org/wiki/Columbia,_Maryland","Howard County","https://en.wikipedia.org/wiki/Howard_County,_Maryland","Active","220","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:13-272","[","]","Maryland"
"Mu Gamma Zeta","","Kendall","https://en.wikipedia.org/wiki/Kendall,_Florida","Richmond Heights","https://en.wikipedia.org/wiki/Richmond_Heights,_Florida","Active","233","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-285","[","]","Perrine"
"Nu Gamma Zeta","","Jackson","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"","","Atmore","https://en.wikipedia.org/wiki/Atmore,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Inactive","40","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:11-66","[","]","Xi Gamma Zeta"
"Omicron Gamma Zeta","December 8, 1990","Clear Lake","https://en.wikipedia.org/wiki/Clear_Lake,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","234","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-286","[","]",""
"Pi Gamma Zeta","January 31, 1995","Southfield","https://en.wikipedia.org/wiki/Southfield,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","235","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-287","[","]",""
"","","","","","","Inactive","","","","","Rho Gamma Zeta"
"Sigma Gamma Zeta","December 12, 2000","Jonesboro","https://en.wikipedia.org/wiki/Jonesboro,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","236","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-288","[","]",""
"Tau Gamma Zeta","March 28, 2003","Rockland County","https://en.wikipedia.org/wiki/Rockland_County,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","237","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-289","[","]",""
"Upsilon Gamma Zeta","","Jackson","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"Phi Gamma Zeta","March 12, 2007","Hopewell","https://en.wikipedia.org/wiki/Hopewell,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","238","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-290","[","]",""
"","","","","","","Inactive","","","","","Chi Gamma Zeta"
"Psi Gamma Zeta","March 10, 2010","Auburn","https://en.wikipedia.org/wiki/Auburn,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","239","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-291","[","]",""
"Omega Gamma Zeta","July 30, 2011","Virginia","https://en.wikipedia.org/wiki/Virginia","","","Active","","","","",""
"Alpha Delta Zeta","October 14, 1938","Jackson","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","240","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-292","[","]",""
"Beta Delta Zeta","","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","","","","",""
"Gamma Delta Zeta","","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","32","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:10-47","[","]",""
"Delta Delta Zeta","May 14, 1949","San Francisco","https://en.wikipedia.org/wiki/San_Francisco","California","https://en.wikipedia.org/wiki/California","Active","241","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-293","[","]",""
"","","","","","","Inactive","","","","","Epsilon Delta Zeta"
"Zeta Delta Zeta","","Burlington County","https://en.wikipedia.org/wiki/Burlington_County,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","242","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:15-294","[","]",""
"Eta Delta Zeta","October 6, 1959","Shelby","https://en.wikipedia.org/wiki/Shelby,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","244","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-296","[","]",""
"","","","","","","Inactive","","","","","Theta Delta Zeta"
"Iota Delta Zeta","","Hayward","https://en.wikipedia.org/wiki/Hayward,_California","California","https://en.wikipedia.org/wiki/California","Active","","","","",""
"Kappa Delta Zeta","","Alexander City","https://en.wikipedia.org/wiki/Alexander_City,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","40","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:11-66","[","]",""
"Lambda Delta Zeta","October 14, 1981","Greenville","https://en.wikipedia.org/wiki/Greenville,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","245","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-297","[","]",""
"Mu Delta Zeta","May 23, 1983","Killeen","https://en.wikipedia.org/wiki/Killeen,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","246","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-298","[","]",""
"Nu Delta Zeta","May 18, 1985","Greer","https://en.wikipedia.org/wiki/Greer,_South_Carolina","Travelers Rest","https://en.wikipedia.org/wiki/Travelers_Rest,_South_Carolina","Active","247","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-299","[","]","Taylors"
"Xi Delta Zeta","","Jackson","https://en.wikipedia.org/wiki/Jackson,_Alabama","McIntosh","https://en.wikipedia.org/wiki/McIntosh,_Alabama","Active","248","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-300","[","]","Alabama"
"Omicron Delta Zeta","","Boca Raton","https://en.wikipedia.org/wiki/Boca_Raton,_Florida","Delray Beach","https://en.wikipedia.org/wiki/Delray_Beach,_Florida","Active","249","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-301","[","]","Boynton Beach"
"Pi Delta Zeta","April 10, 1995","Cedar Rapids","https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa","Iowa","https://en.wikipedia.org/wiki/Iowa","Active","","","","",""
