"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Xi Nu","1992","Tennessee Technological University","https://en.wikipedia.org/wiki/Tennessee_Technological_University","Cookeville, TN","https://en.wikipedia.org/wiki/Cookeville,_TN","Active",""
"Xi Xi","1993","University of Akron","https://en.wikipedia.org/wiki/University_of_Akron","Akron, OH","https://en.wikipedia.org/wiki/Akron,_OH","Active",""
"Xi Omicron","1993","LIU Post","https://en.wikipedia.org/wiki/LIU_Post","Brookville, NY","https://en.wikipedia.org/wiki/Brookville,_NY","Active",""
"Xi Pi","1993","Newberry College","https://en.wikipedia.org/wiki/Newberry_College","Newberry, SC","https://en.wikipedia.org/wiki/Newberry,_SC","Active",""
"Xi Rho","1993","DePauw University","https://en.wikipedia.org/wiki/DePauw_University","Greencastle, IN","https://en.wikipedia.org/wiki/Greencastle,_IN","Active","Originally operated under the Alpha chapter of Indiana University, before gaining its own charter. Collective chapter for DePauw University and Wabash College."
"Xi Sigma","1994","Baylor University","https://en.wikipedia.org/wiki/Baylor_University","Waco, TX","https://en.wikipedia.org/wiki/Waco,_TX","Active",""
"Xi Tau","1995","Wright State University","https://en.wikipedia.org/wiki/Wright_State_University","Dayton, OH","https://en.wikipedia.org/wiki/Dayton,_OH","Active",""
"Xi Upsilon","1995","University of Montevallo","https://en.wikipedia.org/wiki/University_of_Montevallo","Montevallo, AL","https://en.wikipedia.org/wiki/Montevallo,_AL","Active",""
"Xi Phi","1996","University of Nevada, Reno","https://en.wikipedia.org/wiki/University_of_Nevada,_Reno","Reno, NV","https://en.wikipedia.org/wiki/Reno,_NV","Active",""
"Xi Psi","1996","University of the Virgin Islands","https://en.wikipedia.org/wiki/University_of_the_Virgin_Islands","","","Active",""
"Xi Omega","1998","Furman University","https://en.wikipedia.org/wiki/Furman_University","Greenville, SC","https://en.wikipedia.org/wiki/Greenville,_SC","Active","From 1994 to 1998 operated at Furman University campus under the Gamma Nu chapter of Claflin College, before gaining its own charter.  During the 1970s several students at Furman were made at the Zeta Epsilon chapter of the University of South Carolina."
"Omicron Alpha","1998","Samford University","https://en.wikipedia.org/wiki/Samford_University","Homewood, AL","https://en.wikipedia.org/wiki/Homewood,_AL","Active",""
"Omicron Beta","1999","Georgia Southern University–Armstrong Campus","https://en.wikipedia.org/wiki/Georgia_Southern_University%E2%80%93Armstrong_Campus","Savannah, GA","https://en.wikipedia.org/wiki/Savannah,_GA","Active","In 2018, Armstrong State University merged with Georgia Southern University."
"Omicron Gamma","1999","Florida Atlantic University","https://en.wikipedia.org/wiki/Florida_Atlantic_University","Boca Raton, FL","https://en.wikipedia.org/wiki/Boca_Raton,_FL","Active",""
"Omicron Delta","1999","Jacksonville University","https://en.wikipedia.org/wiki/Jacksonville_University","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL","Active",""
"Omicron Epsilon","1999","Christian Brothers University","https://en.wikipedia.org/wiki/Christian_Brothers_University","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN","Active",""
