"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"","May 5, 1945","Brooklyn","https://en.wikipedia.org/wiki/Brooklyn","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","175","Gamma Iota Lambda",""
"","January 1, 1945","Wilmington","https://en.wikipedia.org/wiki/Wilmington,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","176","Gamma Kappa Lambda",""
"Gamma Lambda Lambda","","","","","","Unassigned","","","","","","",""
"","","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","140","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-206","[","]","177","Gamma Mu Lambda","1946"
"","","Lynchburg","https://en.wikipedia.org/wiki/Lynchburg,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","","178","Gamma Nu Lambda","194x ?"
"","","Minneapolis","https://en.wikipedia.org/wiki/Minneapolis","Minnesota","https://en.wikipedia.org/wiki/Minnesota","Active","","","","","179","Gamma Xi Lambda","194x ?"
"","","Albany","https://en.wikipedia.org/wiki/Albany,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","","180","Gamma Omicron Lambda","1948"
"","January 1947","Galveston","https://en.wikipedia.org/wiki/Galveston,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","141","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-207","[","]","181 ?","Gamma Pi Lambda",""
"","February 8, 1947","Gary","https://en.wikipedia.org/wiki/Gary,_Indiana","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","142","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-208","[","]","182","Gamma Rho Lambda",""
"","","Fort Valley","https://en.wikipedia.org/wiki/Fort_Valley,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","","183","Gamma Sigma Lambda","194x ?"
"","","Beaumont","https://en.wikipedia.org/wiki/Beaumont,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","","184 ?","Gamma Tau Lambda","1947"
"Gamma Upsilon Lambda","","","","","","Inactive","","","","","185 ?","","194x ?–xxxx ?"
"","April 12, 1947","Berkeley","https://en.wikipedia.org/wiki/Berkeley,_California","California","https://en.wikipedia.org/wiki/California","Active","143","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-209","[","]","186 ?","Gamma Phi Lambda",""
"","September 20, 1947","San Francisco","https://en.wikipedia.org/wiki/San_Francisco","California","https://en.wikipedia.org/wiki/California","Active","144","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-210","[","]","187 ?","Gamma Chi Lambda",""
