"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Gamma Pi Omega","March 1942","Fort Valley","https://en.wikipedia.org/wiki/Fort_Valley,_Georgia","Georgia","Active","113","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-162","[","]"
"Gamma Rho Omega","June 23, 1942","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Florida","Active","114","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-163","[","]"
"Gamma Sigma Omega","May 29, 1943","Savannah","https://en.wikipedia.org/wiki/Savannah,_Georgia","Georgia","Active","115","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-164","[","]"
"Gamma Tau Omega","March 22, 1943","Columbus","https://en.wikipedia.org/wiki/Columbus,_Georgia","Georgia","Active","116","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-165","[","]"
"Gamma Upsilon Omega","March 25, 1944","Hampton","https://en.wikipedia.org/wiki/Hampton,_Virginia","Virginia","Active","117","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-166","[","]"
"Gamma Phi Omega","June 25, 1944","Buffalo","https://en.wikipedia.org/wiki/Buffalo,_New_York","New York","Active","118","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-167","[","]"
"Gamma Chi Omega","October 14, 1944","Morgantown","https://en.wikipedia.org/wiki/Morgantown,_West_Virginia","West Virginia","Active","119","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-168","[","]"
"Gamma Psi Omega","October 28, 1944","Gary","https://en.wikipedia.org/wiki/Gary,_Indiana","Indiana","Active","120","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-169","[","]"
"Gamma Omega Omega","November 1, 1970","La Marque","https://en.wikipedia.org/wiki/La_Marque,_Texas","Texas","Active","121","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-170","[","]"
"Delta Alpha Omega","April 15, 1946","Waco","https://en.wikipedia.org/wiki/Waco,_Texas","Texas","Active","","","",""
"Delta Beta Omega","","Phoenix","https://en.wikipedia.org/wiki/Phoenix,_Arizona","Arizona","Active","122","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-171","[","]"
"Delta Gamma Omega","May 7, 1946","Corpus Christi","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","Texas","Active","","","",""
"Delta Delta Omega","May 25, 1946","East St. Louis","https://en.wikipedia.org/wiki/East_St._Louis,_Illinois","Illinois","Active","23","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:15-47","[","]"
"Delta Epsilon Omega","","Omaha","https://en.wikipedia.org/wiki/Omaha,_Nebraska","Nebraska","Active","123","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-172","[","]"
"Delta Zeta Omega","September 3, 1946","San Francisco","https://en.wikipedia.org/wiki/San_Francisco","California","Active","26","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:16-54","[","]"
"Delta Eta Omega","November 2, 1946","Albany","https://en.wikipedia.org/wiki/Albany,_Georgia","Georgia","Active","124","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-173","[","]"
"Delta Theta Omega","November 22, 1946","Mobile","https://en.wikipedia.org/wiki/Mobile,_Alabama","Alabama","Active","125","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-174","[","]"
"Delta Iota Omega","November 23, 1946","Pensacola","https://en.wikipedia.org/wiki/Pensacola,_Florida","Florida","Active","27","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:17-58","[","]"
"Delta Kappa Omega","January 24, 1947","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Florida","Active","","","",""
"Delta Lambda Omega","February 3, 1947","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","Active","39","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:18-80","[","]"
"Delta Mu Omega","February 17, 1947","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","New York","Active","126","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-175","[","]"
"Delta Nu Omega","April 15, 1946","Rochester","https://en.wikipedia.org/wiki/Rochester,_New_York","New York","Active","127","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-176","[","]"
"Delta Xi Omega","April 19, 1947","Salisbury","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","North Carolina","Active","128","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-177","[","]"
"Delta Omicron Omega","October 24, 1947","Orlando","https://en.wikipedia.org/wiki/Orlando,_Florida","Florida","Active","129","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-178","[","]"
"Delta Pi Omega","October 25, 1947","Annapolis","https://en.wikipedia.org/wiki/Annapolis,_Maryland","Maryland","Active","130","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-179","[","]"
"Delta Rho Omega","November 15, 1947","Brooklyn","https://en.wikipedia.org/wiki/Brooklyn","New York","Active","131","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-180","[","]"
"Delta Sigma Omega","December 20, 1947","Salibury","https://en.wikipedia.org/wiki/Salisbury,_Maryland","Maryland","Active","132","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-181","[","]"
"Delta Tau Omega","December 17, 1947","Lansing","https://en.wikipedia.org/wiki/Lansing,_Michigan","Michigan","Active","133","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-182","[","]"
"Delta Upsilon Omega","","Seattle","https://en.wikipedia.org/wiki/Seattle","Washington","Active","13","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:19-26","[","]"
"Delta Phi Omega","April 17, 1948","Minneapolis","https://en.wikipedia.org/wiki/Minneapolis","Minnesota","Active","134","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-183","[","]"
"Delta Chi Omega","June 25, 1948","Evanston","https://en.wikipedia.org/wiki/Evanston,_Illinois","Illinois","Active","135","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-184","[","]"
"Delta Psi Omega","December 4, 1948","Ann Arbor","https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan","Michigan","Active","136","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-185","[","]"
"Delta Omega Omega","December 11, 1948","Pine Bluff","https://en.wikipedia.org/wiki/Pine_Bluff,_Arkansas","Arkansas","Active","137","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-186","[","]"
"","","Greenville","https://en.wikipedia.org/wiki/Greenville,_South_Carolina","South Carolina","Inactive ?","138","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-187","[","]"
