"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Chi Phi Omega","April 7, 2005","Lafayette","https://en.wikipedia.org/wiki/Lafayette,_Indiana","Indiana","Active","412","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-470","[","]"
"Chi Chi Omega","May 21, 2005","Indianapolis","https://en.wikipedia.org/wiki/Indianapolis","Indiana","Active","413","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-471","[","]"
"Chi Psi Omega","June 12, 2005","Coral Springs","https://en.wikipedia.org/wiki/Coral_Springs,_Florida","Florida","Active","414","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-472","[","]"
"Chi Omega Omega","June 18, 2005","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","Active","415","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-473","[","]"
"Psi Alpha Omega","December 10, 2005","Stockbridge","https://en.wikipedia.org/wiki/Stockbridge,_Georgia","Georgia","Active","416","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:57-474","[","]"
"Psi Beta Omega","June 9, 2006","Tokyo","https://en.wikipedia.org/wiki/Tokyo","","Active","417","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-475","[","]"
"Psi Gamma Omega","June 17, 2006","Hillsborough","https://en.wikipedia.org/wiki/Hillsborough,_North_Carolina","North Carolina","Active","418","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:58-476","[","]"
"Psi Delta Omega","March 18, 2007","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Michigan","Michigan","Active","419","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-477","[","]"
"Psi Epsilon Omega","April 29, 2007","Laurel","https://en.wikipedia.org/wiki/Laurel,_Maryland","Maryland","Active","420","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-478","[","]"
"Psi Zeta Omega","","Knoxville","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Tennessee","Active","","","",""
"Psi Eta Omega","May 24, 2008","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Ohio","Active","421","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-479","[","]"
"Psi Theta Omega","June 28, 2008","Orlando","https://en.wikipedia.org/wiki/Orlando,_Florida","Florida","Active","422","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:59-480","[","]"
"Psi Iota Omega","July 6, 2008","Brockton","https://en.wikipedia.org/wiki/Brockton,_Massachusetts","Massachusetts","Active","423","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:60-481","[","]"
"Psi Kappa Omega","February 7, 2009","Battle Creek","https://en.wikipedia.org/wiki/Battle_Creek,_Michigan","Michigan","Active","424","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-482","[","]"
"Psi Lambda Omega","February 7, 2009","Brooklyn","https://en.wikipedia.org/wiki/Brooklyn","New York","Active","425","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-483","[","]"
"Psi Mu Omega","March 19, 2011","Pearland","https://en.wikipedia.org/wiki/Pearland,_Texas","Texas","Active","426","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-484","[","]"
"Psi Nu Omega","September 24, 2011","Richland","https://en.wikipedia.org/wiki/Richland,_Washington","Washington","Active","427","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-485","[","]"
"Psi Xi Omega","November 26, 2011","Alabaster","https://en.wikipedia.org/wiki/Alabaster,_Alabama","Alabama","Active","428","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-486","[","]"
"Psi Omicron Omega","December 4, 2011","Pine Hill","https://en.wikipedia.org/wiki/Pine_Hill,_Alabama","Alabama","Active","","","",""
"Psi Pi Omega","December 10, 2011","Stuart","https://en.wikipedia.org/wiki/Stuart,_Florida","Florida","Active","429","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-487","[","]"
"Psi Rho Omega","June 30, 2012","Leesburg","https://en.wikipedia.org/wiki/Leesburg,_Virginia","Virginia","Active","430","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-488","[","]"
"Psi Sigma Omega","June 8, 2013","Garner","https://en.wikipedia.org/wiki/Garner,_North_Carolina","North Carolina","Active","431","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-489","[","]"
"Psi Tau Omega","November 24, 2013","Johannesburg","https://en.wikipedia.org/wiki/Johannesburg","South Africa","Active","","","",""
"Psi Upsilon Omega","December 14, 2013","Henderson","https://en.wikipedia.org/wiki/Henderson,_Nevada","Nevada","Active","432","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-490","[","]"
"Psi Phi Omega","February 16, 2014","","","Maryland","Active","433","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-491","[","]"
"Psi Chi Omega","","Lincoln","https://en.wikipedia.org/wiki/Lincoln,_Nebraska","Nebraska","Active","","","",""
"Psi Psi Omega","June 7, 2014","Garrisonville","https://en.wikipedia.org/wiki/Garrisonville,_Virginia","Virginia","Active","434","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-492","[","]"
"Psi Omega Omega","December 13, 2014","Peachtree Corners","https://en.wikipedia.org/wiki/Peachtree_Corners,_Georgia","Georgia","Active","435","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-493","[","]"
"Omega Alpha Omega","","Frisco","https://en.wikipedia.org/wiki/Frisco,_Texas","Texas","Active","","","",""
"Omega Beta Omega","May 16, 2015","Yazoo City","https://en.wikipedia.org/wiki/Yazoo_City,_Mississippi","Mississippi","Active","","","",""
"Omega Gamma Omega","December 12, 2015","Blythewood","https://en.wikipedia.org/wiki/Blythewood,_South_Carolina","South Carolina","Active","436","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-494","[","]"
"Omega Delta Omega","December 15, 2015","Ontario","https://en.wikipedia.org/wiki/Ontario,_California","California","Active","437","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-495","[","]"
"Omega Epsilon Omega","December 13, 2015","Novi","https://en.wikipedia.org/wiki/Novi,_Michigan","Michigan","Active","438","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-496","[","]"
"Omega Zeta Omega","December 19, 2015","","","Pennsylvania","Active","439","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-497","[","]"
"Omega Eta Omega","December 2015","Fulton","https://en.wikipedia.org/wiki/Fulton,_Maryland","Maryland","Active","440","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-498","[","]"
"Omega Theta Omega","January 22, 2016","Abu Dhabi","https://en.wikipedia.org/wiki/Abu_Dhabi","","Active","441","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-499","[","]"
"Omega Iota Omega","","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","Active","","","",""
"Omega Kappa Omega","September 10, 2016","Buies Creek","https://en.wikipedia.org/wiki/Buies_Creek,_North_Carolina","North Carolina","Active","442","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-500","[","]"
"Omega Lambda Omega","September 11, 2016","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","North Carolina","Active","443","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-501","[","]"
"Omega Mu Omega","September 18, 2016","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","Active","444","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-502","[","]"
"Omega Nu Omega","December 10, 2016","Springfield","https://en.wikipedia.org/wiki/Springfield,_Missouri","Missouri","Active","445","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-503","[","]"
"Omega Xi Omega","December 11, 2016","New Haven","https://en.wikipedia.org/wiki/New_Haven,_Michigan","Michigan","Active","","","",""
"Omega Omicron Omega","December 18, 2016","San Diego","https://en.wikipedia.org/wiki/San_Diego","California","Active","446","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-504","[","]"
"Omega Pi Omega","April 22, 2017","Huntingtown","https://en.wikipedia.org/wiki/Huntingtown,_Maryland","Maryland","Active","447","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-505","[","]"
"Omega Rho Omega","April 22, 2017","Henrico","https://en.wikipedia.org/wiki/Henrico,_Virginia","Virginia","Active","448","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-506","[","]"
"Omega Sigma Omega","May 23, 2017","Shelby","https://en.wikipedia.org/wiki/Shelby,_North_Carolina","North Carolina","Active","","","",""
"Omega Tau Omega","December 9, 2017","Fort Mill","https://en.wikipedia.org/wiki/Fort_Mill,_South_Carolina","South Carolina","Active","449","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-507","[","]"
"Omega Upsilon Omega","December 10, 2017","Concord","https://en.wikipedia.org/wiki/Concord,_California","California","Active","450","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-508","[","]"
"Omega Phi Omega","December 16, 2017","St. Augustine","https://en.wikipedia.org/wiki/St._Augustine,_Florida","Florida","Active","451","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-509","[","]"
"Omega Chi Omega","December 16, 2017","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Alabama","Active","452","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-510","[","]"
"Omega Psi Omega","December 16, 2017","Elizabeth","https://en.wikipedia.org/wiki/Elizabeth,_New_Jersey","New Jersey","Active","453","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-511","[","]"
"Omega Omega Omega","March 25, 2018","Darlington","https://en.wikipedia.org/wiki/Darlington,_South_Carolina","South Carolina","Active","454","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-512","[","]"
"Alpha Alpha Alpha Omega","April 14, 2018","Broken Arrow","https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma","Oklahoma","Active","","","",""
"Alpha Alpha Beta Omega","April 15, 2018","Miramar","https://en.wikipedia.org/wiki/Miramar,_Florida","Florida","Active","455","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-513","[","]"
"Alpha Alpha Gamma Omega","May 26, 2018","Bartlett","https://en.wikipedia.org/wiki/Bartlett,_Tennessee","Tennessee","Active","456","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-514","[","]"
"Alpha Alpha Delta Omega","June 9, 2018","Toronto","https://en.wikipedia.org/wiki/Toronto",",","Active","457","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-515","[","]"
"Alpha Alpha Epsilon Omega","June 9, 2018","Evans","https://en.wikipedia.org/wiki/Evans,_Georgia","Georgia","Active","","","",""
"Alpha Alpha Zeta Omega","June 9, 2018","Southaven","https://en.wikipedia.org/wiki/Southaven,_Mississippi","Mississippi","Active","458","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-516","[","]"
"Alpha Alpha Eta Omega","June 9, 2018","Cypress","https://en.wikipedia.org/wiki/Cypress,_Texas","Texas","Active","459","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-517","[","]"
"Alpha Alpha Theta Omega","June 30, 2018","Tampa","https://en.wikipedia.org/wiki/Tampa,_Florida","Florida","Active","460","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-518","[","]"
"Alpha Alpha Iota Omega","December 2, 2018","Laveen, Phoenix","https://en.wikipedia.org/wiki/Laveen,_Phoenix","Arizona","Active","461","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-519","[","]"
"Alpha Alpha Kappa Omega","May 19, 2019","Houston","https://en.wikipedia.org/wiki/Houston","Texas","Active","462","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-520","[","]"
"Alpha Alpha Lambda Omega","December 8, 2019","College Park","https://en.wikipedia.org/wiki/College_Park,_Maryland","Maryland","Active","463","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:43-521","[","]"
"Alpha Alpha Mu Omega","January 12, 2020","Sussex County","https://en.wikipedia.org/wiki/Sussex_County,_Delaware","Delaware","Active","464","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-522","[","]"
"Alpha Alpha Nu Omega","November 2, 2019","Round Rock","https://en.wikipedia.org/wiki/Round_Rock,_Texas","Texas","Active","465","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:44-523","[","]"
"Alpha Alpha Xi Omega","March 7, 2020","San Antonio","https://en.wikipedia.org/wiki/San_Antonio","Texas","Active","466","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-524","[","]"
"Alpha Alpha Omicron Omega","March 7, 2021","Kaufman County","https://en.wikipedia.org/wiki/Kaufman_County,_Texas","Texas","Active","467","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-525","[","]"
"Alpha Alpha Pi Omega","March 14, 2021","Gwinnett County","https://en.wikipedia.org/wiki/Gwinnett_County,_Georgia","Georgia","Active","468","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-526","[","]"
"Alpha Alpha Rho Omega","May 15, 2021","Benton","https://en.wikipedia.org/wiki/Benton,_Arkansas","Arkansas","Active","","","",""
"Alpha Alpha Sigma Omega","May 17, 2021","Brandywine","https://en.wikipedia.org/wiki/Brandywine,_Maryland","Maryland","Active","","","",""
"Alpha Alpha Tau Omega","May 16, 2021","Middletown","https://en.wikipedia.org/wiki/Middletown,_Delaware","Delaware","Active","463","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:43-521","[","]"
"Alpha Alpha Upsilon Omega","June 6, 2021","Wellington","https://en.wikipedia.org/wiki/Wellington,_Florida","Florida","Active","245","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:36-301","[","]"
"Alpha Alpha Phi Omega","June 19, 2021","Milledgeville","https://en.wikipedia.org/wiki/Milledgeville,_Georgia","Georgia","Active","469","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-527","[","]"
"Alpha Alpha Chi Omega","June 26, 2021","Anson County","https://en.wikipedia.org/wiki/Anson_County,_North_Carolina","North Carolina","Active","470","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:37-528","[","]"
"Alpha Alpha Psi Omega","June 27, 2021","Paulding County","https://en.wikipedia.org/wiki/Paulding_County,_Georgia","Georgia","Active","471","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-529","[","]"
"Alpha Alpha Omega Omega","June 30, 2021","Lagos","https://en.wikipedia.org/wiki/Lagos","","Active","423","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:60-481","[","]"
"Alpha Beta Alpha Omega","December 5, 2021","Springfield","https://en.wikipedia.org/wiki/Springfield,_Virginia","Virginia","Active","472","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:45-530","[","]"
"Alpha Beta Beta Omega","December 5, 2021","Canton","https://en.wikipedia.org/wiki/Canton,_Ohio","Ohio","Active","472","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:45-530","[","]"
"Alpha Beta Gamma Omega","December 5, 2021","Dundalk","https://en.wikipedia.org/wiki/Dundalk,_Maryland","Maryrland","Active","422","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:59-480","[","]"
"Alpha Beta Delta Omega","December 12, 2021","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","Active","473","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-531","[","]"
"Alpha Beta Epsilon Omega","December 12, 2021","Immokalee","https://en.wikipedia.org/wiki/Immokalee,_Florida","Florida","Active","","","",""
"Alpha Beta Zeta Omega","December 21, 2021","Belleville","https://en.wikipedia.org/wiki/Belleville,_Illinois","Illinois","Active","","","",""
"Alpha Beta Eta Omega","January 9, 2022","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Florida","Active","418","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:58-476","[","]"
"Alpha Beta Theta Omega","May 7, 2022","Laurel","https://en.wikipedia.org/wiki/Laurel,_Mississippi","Mississippi","Active","368","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:49-426","[","]"
"Alpha Beta Iota Omega","May 14, 2022","Bedford","https://en.wikipedia.org/wiki/Bedford,_Texas","Texas","Active","367","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:48-425","[","]"
"Alpha Beta Kappa Omega","","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","Active","","","",""
"Alpha Beta Lambda Omega","May 15, 2022","Brookhaven","https://en.wikipedia.org/wiki/Brookhaven,_Georgia","Georgia","Active","366","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:47-424","[","]"
"Alpha Beta Mu Omega","May 21, 2022","Mobile","https://en.wikipedia.org/wiki/Mobile,_Alabama","Alabama","Active","369","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:50-427","[","]"
"Alpha Beta Nu Omega","June 4, 2022","Eutaw","https://en.wikipedia.org/wiki/Eutaw,_Alabama","Alabama","Active","416","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:57-474","[","]"
"Alpha Beta Xi Omega","June 5, 2022","Trussville","https://en.wikipedia.org/wiki/Trussville,_Alabama","Alabama","Active","","","",""
"Alpha Beta Omicron Omega","June 12, 2022","Phenix City","https://en.wikipedia.org/wiki/Phenix_City,_Alabama","Alabama","Active","474","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:46-532","[","]"
"Alpha Beta Pi Omega","June 12, 2022","Staten Island","https://en.wikipedia.org/wiki/Staten_Island","New York","Active","247","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:38-303","[","]"
"Alpha Beta Rho Omega","June 14, 2022","Paramus","https://en.wikipedia.org/wiki/Paramus,_New_Jersey","New Jersey","Active","475","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-533","[","]"
"Alpha Beta Sigma Omega","June 18, 2022","Apopka","https://en.wikipedia.org/wiki/Apopka,_Florida","Florida","Active","","","",""
"Alpha Beta Tau Omega","June 25, 2022","Batesville","https://en.wikipedia.org/wiki/Batesville,_Mississippi","Mississippi","Active","476","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-534","[","]"
"Alpha Beta Upsilon Omega","June 26, 2022","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","Active","474","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:46-532","[","]"
"Alpha Beta Phi Omega","","Grand Prairie","https://en.wikipedia.org/wiki/Grand_Prairie,_Texas","Texas","Active","","","",""
"Alpha Beta Chi Omega","May 6, 2023","York","https://en.wikipedia.org/wiki/York,_Pennsylvania","Pennsylvania","Active","","","",""
